일자,계(명),국내발생(명),해외유입(명),사망(명)
2020_01,11 ,4 ,7 ,0 
2020_02,2920 ,2904 ,16 ,16 
2020_03,6855 ,6344 ,511 ,146 
2020_04,979 ,447 ,532 ,85 
2020_05,703 ,511 ,192 ,23 
2020_06,1331 ,1006 ,325 ,12 
2020_07,1506 ,693 ,813 ,19 
2020_08,5641 ,5214 ,427 ,23 
2020_09,3865 ,3461 ,404 ,89 
2020_10,2700 ,2172 ,528 ,51 
2020_11,7688 ,6895 ,793 ,62 
2020_12,26527 ,25696 ,831 ,374 
2021_01,17471 ,16544 ,927 ,520 
2021_02,11467 ,10729 ,738 ,183 
2021_03,13415 ,12870 ,545 ,128 
2021_04,18927 ,18193 ,734 ,97 
2021_05,18331 ,17603 ,728 ,131 
2021_06,16623 ,15758 ,865 ,59 
2021_07,41796 ,39891 ,1905 ,215 
2021_08,53077 ,51424 ,1653 ,190 
2021_09,59858 ,58972 ,886 ,196 
2021_10,53415 ,52758 ,657 ,368 
2021_11,82517 ,81884 ,633 ,775 
2021_12,183599 ,181981 ,1618 ,1939 
2022_01,197774 ,190052 ,7722 ,1169 
2022_02,2305712 ,2301455 ,4257 ,1326 
2022_03,9960768 ,9959025 ,1743 ,8172 
2022_04,4142663 ,4141781 ,882 ,6564 
